filename,plate
3f7bbcb9-9c47-4950-8e53-012e36bb2acc-1-_jpg.rf.52ca16153522bb635ce255a04b51aa47.jpg,JRC 5492
abbb718d-f9e1-45d9-9245-3f0c5b4249fb_jpg.rf.305cb37a21af84b698d7b4dc71a1887f.jpg,VCT 9264
carplate38_jpg.rf.4cdb09a07b2ae8d05be66221a873fea2.jpg,JA 2
carplate49_jpg.rf.10e1c820dda8db5ec0967cf2e87abac5.jpg,HWC 2012
dst_carplate5_jpg.rf.3eaf43dec4c35612b8a6dc092215594a.jpg,JQK 6888
dst_carplate13_jpg.rf.ee22be89f78b37ab09e7714a0f6d11d7.jpg,XX 88
dst_carplate18_jpg.rf.c03ae99301bc7d434ec8f8d86f30d0ad.jpg,BMM 4149
dst_nombor-plate-kerata-serawak-dan-sabah_255_jpeg_jpg.rf.584a9fef96b8384c960757bc58db6d73.jpg,HJA 8888
dst_nombor-plate-teksi-malaysia_258_jpeg_jpg.rf.0513319b4775cb2a43bb6c23cc5025a4.jpg,HQ 1991
f787f1a2-82e4-4726-89cf-ca929c68eafe_jpg.rf.5eb37cd1e1a444aa606dd9946552e6f4.jpg,VL 716
gray_carplate15_jpg.rf.df5c7a1ffb2932d2f738c4724d993030.jpg,KN 232
gray_carplate33_jpg.rf.589ef842108540adc0f9b64a53323dc3.jpg,WWV 8993
gray_carplate51_jpg.rf.244f1ad489185752fa5fa0656be77c27.jpg,W 4575 K
gray_malaysia-car-plate-number_12_jpeg_jpg.rf.f009ff3bdc1179a5396697a0d7b7447c.jpg,UTM 9999
gray_malaysia-car-plate-number_13_jpeg_jpg.rf.959a3292d2ff2f4cd30ca6a5e07e435a.jpg,YA 8055
gray_malaysia-car-plates_12_jpeg_jpg.rf.c5d4b85fb8dbd796d0563b7dedb72eac.jpg,A 1
gray_malaysia-custom-car-plates_17_jpeg_jpg.rf.936859c6a1507c3f8892c69e5383fc34.jpg,W 1
gray_malaysia-custom-car-plates_28_jpeg_jpg.rf.dabb73219f6c89d419f61ba45170cecd.jpg,PEN 15
gray_nombor-plate-kerata-serawak-dan-sabah_31_png_jpg.rf.f8baf73e0e4d2683fdbd67eb7c75eb10.jpg,WBH 2222
IMG_8054_jpg.rf.647b31d2b063f7405da74d7f9ead5426.jpg,AMY 2931
